編號,類型,廁所名稱,廁所地址,緯度,經度,管理單位,坐式便器設置數量,蹲式便器設置數量,小便器設置數量,洗手台設置數量,無障礙坐式便器設置數量,無障礙小便器設置數量,無障礙洗手台設置數量,兒童馬桶,兒童小便器,兒童洗面盆,兒童安全座椅,尿布臺,求救警鈴,更衣平台,照護床,備註
0,機關,職能發展學院行政大樓5樓,臺北市士林區士東路301號5樓,25.115451,121.5382646,臺北市職能發展學院,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
0,機關,臺北市士林區戶政事務所4樓（士林區戶政事務所4樓基河路側）,臺北市士林區中正路439號4樓,25.092758,121.519582,臺北市士林區戶政事務所,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
0,機關,臺北市士林地政事務所5樓（士商路側）,臺北市士林區中正路439號5樓,25.092793,121.5196789,臺北市士林地政事務所,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,
0,機關,臺北市士林區公所9樓（士林區行政中心）,臺北市士林區中正路439號9樓,25.092764,121.5195614,臺北市士林區公所,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,學校,臺北市立大學天母校區詩欣館2樓,臺北市士林區忠誠路2段101號詩欣館2樓,25.114378,121.536966,臺北市立大學,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,臺北市士林親子館1樓（遊戲區內）,臺北市士林區基河路130號1樓,25.089369,121.5225826,臺北市政府社會局,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,僅開放入館親子使用
0,文化育樂場所,臺北市士林親子館1樓（外大廳）,臺北市士林區基河路130號1樓,25.089224,121.5227765,臺北市政府社會局,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,
0,文化育樂場所,臺北市立天文科學教育館2樓,臺北市士林區基河路363號2樓,25.096153,121.518958,臺北市立天文科學教育館,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,開放時間為週二至週日上午9時至下午5時，週六上午9時至下午9時，週一不開放。
0,文化育樂場所,渭水驛站,臺北市大同區延平北路2段27號,25.05475283,121.5119027,臺北市政府文化局,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1樓廁所開放時間為週二至週日，上午9時30分至下午5時30分。
0,文化育樂場所,臺北市育兒資源暨培力中心（建成綜合大樓7樓）,臺北市大同區承德路2段33號7樓,25.054628,121.5184728,臺北市政府社會局,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,臺北市大同區國慶區民活動中心4樓,臺北市大同區重慶北路3段76號4樓,25.06601523,121.5132127,臺北市大同區公所,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
0,機關,臺北市立懷愛館景仰樓地下1樓（客梯側）,臺北市大安區辛亥路3段330號地下1樓,25.013546,121.5530227,臺北市殯葬管理處,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,
0,機關,臺北市立懷愛館景行樓地下2樓（移靈走廊）,臺北市大安區辛亥路3段330號地下2樓,25.01311,121.55271,臺北市殯葬管理處,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
0,機關,臺北市立懷愛館景行樓地下3樓（客梯側）,臺北市大安區辛亥路3段330號地下3樓,25.013101,121.55271,臺北市殯葬管理處,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,
0,文化育樂場所,臺北市立圖書館延吉民眾閱覽室3樓,臺北市大安區延吉街236巷17號3樓,25.03657,121.5551009,臺北市立圖書館,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,
0,文化育樂場所,臺北市大安親子館1樓,臺北市大安區延吉街246巷10號1樓,25.035349,121.5552609,臺北市政府社會局,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1樓廁所開放時間為週一至週日，上午9時至下午6時，國定假日不開放。
0,文化育樂場所,臺北市大安親子館3樓,臺北市大安區延吉街246巷10號3樓,25.035345,121.555281,臺北市政府社會局,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,3樓廁所僅供開館日之入館親子使用，無對外開放。無障礙廁所及尿布台為單獨空間。
0,文化育樂場所,榕錦時光生活園區1樓B棟,臺北市大安區金華街167號1樓B棟,25.03040578,121.5260398,臺北市政府文化局,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,
0,文化育樂場所,臺北市客家文化會館1樓,臺北市大安區信義路3段157巷11號1樓,25.034537,121.5430495,臺北市客家事務委員會,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,機關,臺北市大安地政事務所1樓,臺北市大安區信義路4段335巷6號1樓,25.033807,121.5564997,臺北市大安地政事務所,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,
0,機關,臺北市大安地政事務所4樓,臺北市大安區信義路4段335巷6號4樓,25.033807,121.5565087,臺北市大安地政事務所,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,
0,文化育樂場所,進安公園地下停車場地下1樓,臺北市中山區八德路2段158號地下1樓,25.04608981,121.5377159,臺北市政府停車管理工程處,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,
0,文化育樂場所,臺北市立美術館地下2樓,臺北市中山區中山北路3段181號地下2樓,25.07243845,121.524816,臺北市政府文化局,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,圓山風景區,臺北市中山區中山北路4段1號,25.07811461,121.5259985,臺北市工務局大地處,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,
0,機關,臺北市中山區公所5樓,臺北市中山區松江路367號5樓,25.064307,121.5335803,臺北市中山區公所,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,
0,機關,臺北市政府青年局6樓,臺北市中正區仁愛路1段17號6樓,25.03901592,121.5222364,臺北市政府青年局,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
0,文化育樂場所,寶藏巖國際藝術村十字藝廊1樓,臺北市中正區汀州路3段230巷51弄5號1樓,25.01069136,121.5320863,臺北市政府文化局,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,
0,文化育樂場所,中山堂管理所3樓,臺北市中正區延平南路98號3樓,25.04300515,121.5101907,臺北市中山堂管理所,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,臺北記憶倉庫1樓,臺北市中正區忠孝西路1段265號1樓,25.04768903,121.5124081,臺北市政府文化局,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,
0,文化育樂場所,臺北市中正區幸福區民活動中心8樓,臺北市中正區忠孝東路1段108號8樓,25.044345,121.5247763,臺北市中正區公所,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,機關,臺北市內湖區公所地下2樓（內湖區行政中心）,臺北市內湖區民權東路6段99號地下2樓,25.069299,121.5889483,臺北市內湖區公所,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
0,文化育樂場所,動物之家中繼園區1樓（C區櫃台服務區）,臺北市內湖區安美街191號1樓,25.06047,121.6035634,臺北市動物保護處,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,久康區民活動中心1樓,臺北市文山區久康街24巷42號1樓,24.98923588,121.5664777,臺北市文山區公所,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
0,機關,臺北市文山區戶政事務所2樓（文山區行政中心）,臺北市文山區木柵路2段220號2樓,24.989672,121.5701704,臺北市文山戶政事務所,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,文山公民會館2樓,臺北市文山區木柵路3段189號2樓,24.98999423,121.5697309,臺北市文山區公所,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,
0,醫院,臺北市文山區健康服務中心1樓,臺北市文山區木柵路3段220號1樓,24.98963591,121.5700901,臺北市政府衛生局,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,興昌區民活動中心2樓,臺北市文山區辛亥路4段199號2樓,25.003356,121.5569441,臺北市文山區公所,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,
0,機關,臺北市政府公務人員訓練處1樓（B區）,臺北市文山區萬美街2段21巷20號1樓B區,25.004248,121.5606814,臺北市政府公務人員訓練處,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,機關,臺北市古亭地政事務所2樓,臺北市文山區萬隆街47之12號2樓,25.000826,121.5360928,臺北市古亭地政事務所,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
0,機關,臺北市文山區戶政事務所3樓景美辦事處（文山區行政中心附屬大樓）,臺北市文山區興隆路2段160號3樓,25.001612,121.5514243,臺北市文山戶政事務所,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,臺北市文山親子館2樓,臺北市文山區興隆路2段88號2樓之1,25.000516,121.5493164,臺北市政府社會局,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,
0,醫院,臺北市立萬芳醫院1樓（急診室）,臺北市文山區興隆路3段111號1樓,24.99995,121.5581475,臺北市立萬芳醫院,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,機關,臺北市社會局老人自費安養中心（松柏樓）,臺北市文山區興隆路4段109巷30弄6號,24.986401,121.562508,臺北市社會局老人自費安養中心,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
0,運動場館,臺北市景美游泳池1樓,臺北市文山區羅斯福路5段176巷50號1樓,25.003847,121.5363042,臺北市政府體育局,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,北投公民會館,臺北市北投區中山路5-7號,25.137923,121.510127,臺北市北投區公所,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,
0,文化育樂場所,立農公園,臺北市北投區承德路7段378號,25.118543,121.503783,臺北市政府工務局公園路燈工程管理處(陽明山公園管理所),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,臺北市立圖書館稻香分館9樓,臺北市北投區稻香路81號稻香合署大樓9樓,25.141033,121.4893534,臺北市立圖書館,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,南港公園（園內遊戲場旁）,臺北市東新街170號,25.04597894,121.5912086,南港公園管理所,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,機關,臺北市松山區公所1樓（松山區行政中心）,臺北市松山區八德路4段692號,25.049964,121.5772509,臺北市松山區公所,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,
0,機關,臺北體育館地下1樓,臺北市松山區南京東路4段10號地下1樓,25.051329,121.5520859,臺北市政府體育局,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,臺北市廣慈親子館1樓（廣慈社宅基地B，左3）,臺北市信義區大道路116-3號1樓,25.038,121.5827467,臺北市政府社會局,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,"開放時間
【週二至週五】第一場上午9時30分至下午12時；第二場下午2時至下午5時。
【週六、週日】第一場上午9時30分至下午11時；第二場下午1時至下午2時30；第三場下午3時30分治下午5時。
*週一及經政府公告之放假日為休館日無提供。"
0,文化育樂場所,臺北市廣慈親子館1樓（廣慈社宅基地B，右2）,臺北市信義區大道路116-3號1樓,25.038009,121.5827377,臺北市政府社會局,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,"開放時間
【週二至週五】第一場上午9時30分至下午12時；第二場下午2時至下午5時。
【週六、週日】第一場上午9時30分至下午11時；第二場下午1時至下午2時30；第三場下午3時30分治下午5時。
*週一及經政府公告之放假日為休館日無提供。"
0,機關,臺北市政大樓3樓中央南區,臺北市信義區市府路1號3樓,25.0371009,121.5642678,臺北市市政大樓公共事務管理中心,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,
0,機關,松山文創園區辦公廳舍1樓,臺北市信義區光復南路133號1樓,25.04403075,121.5608308,臺北市政府文化局,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,
0,文化育樂場所,春光公園地下停車場地下1樓,臺北市信義區忠孝東路5段666號地下1樓,25.04250561,121.5810046,臺北市政府停車管理工程處,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,
0,文化育樂場所,永春崗公園,臺北市信義區松山路656巷2號旁,25.03147926,121.5771612,南港公園管理所,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,臺北市立圖書館六合分館5樓（閱覽區走道間）,臺北市信義區松仁路240巷19號5樓,25.024345,121.5688405,臺北市立圖書館,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,
0,警局,臺北市政府婦幼警察隊辦公廳2樓,臺北市信義區信義路5段180號2樓,25.032991,121.5741551,臺北市政府婦幼警察隊,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,機關,臺北市松山地政事務所1樓,臺北市信義區莊敬路391巷11弄2號1樓,25.049852,121.5772605,臺北市松山地政事務所,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
0,機關,臺北市信義區行政中心1樓（廣慈社宅基地A）,臺北市信義區福德街86號1樓,25.03756275,121.5817353,臺北市信義區公所,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,
0,機關,臺北市信義區戶政事務所6樓（廣慈社宅基地A）,臺北市信義區福德街86號6樓,25.03783,121.5821874,臺北市信義戶政事務所,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,臺北市南港親子館1樓,臺北市南港區南港路1段287巷2弄15號1樓,25.05394,121.6079004,臺北市政府社會局,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,
0,文化育樂場所,臺北市立圖書館南港分館,臺北市南港區南港路1段350號2樓,25.055027,121.608078,臺北市立圖書館,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
0,機關,臺北市南港區公所2樓（南港區行政中心）,臺北市南港區南港路1段360號2樓,25.054722,121.6066937,臺北市南港區公所,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,
0,文化育樂場所,臺北市軍人公墓服務中心1樓,臺北市南港區研究院路3段130號1樓,25.034836,121.611146,臺北市政府兵役局,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"開放時間
【週一至週五】上8時30分至下午4時30分。*經政府公告之放假日無開放。"
0,文化育樂場所,臺北市軍人公墓服務中心2樓,臺北市南港區研究院路3段130號2樓,25.034845,121.611146,臺北市政府兵役局,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"開放時間
【週一至週五】上8時30分至下午4時30分。*經政府公告之放假日無開放。"
0,文化育樂場所,西門紅樓,臺北市萬華區成都路10號,25.04202222,121.5069065,臺北市政府文化局,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
0,機關,萬華區健康服務中心2樓,臺北市萬華區東園街152號2樓,25.02321464,121.4975562,臺北市政府衛生局,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
0,機關,萬華區健康服務中心3樓,臺北市萬華區東園街152號3樓,25.02321464,121.4975562,臺北市政府衛生局,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,萬華區史展示中心2樓,臺北市萬華區長沙街2段171號2樓,25.040708,121.5016931,臺北市萬華區公所,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,文化育樂場所,西門町遊客中心2樓,臺北市萬華區漢中街45號2樓,25.044362,121.5075377,臺北市政府觀傳局,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,
0,文化育樂場所,臺北表演藝術中心10樓,臺北市劍潭路1號10樓,25.085132,121.524364,臺北市政府文化局,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,"開放時間
【週二至週日】下午12時至下午9時。
*週一及經政府公告之放假日為休館日無提供
僅開放劇場觀眾使用。"
0,文化育樂場所,臺北表演藝術中心11樓,臺北市劍潭路1號11樓,25.085132,121.524364,臺北市政府文化局,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"開放時間
【週二至週日】下午12時至下午9時。
*週一及經政府公告之放假日為休館日無提供
僅開放劇場觀眾使用。"
0,文化育樂場所,臺北表演藝術中心6樓,臺北市劍潭路1號6樓,25.085132,121.524364,臺北市政府文化局,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,"開放時間
【週二至週日】下午12時至下午9時。
*週一及經政府公告之放假日為休館日無提供
僅開放劇場觀眾使用。"
0,機關,實踐大學音樂大樓1樓,臺北市大直街70號音樂大樓1樓,25.085623,121.545964,實踐大學,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,
0,機關,臺北市南港少年服務中心,臺北市南港區興東街36號2樓,25.056272,121.610393,臺北市政府社會局,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,"開放時間
【週一至週五】上午10時至下午8時。"
0,機關,臺北市大安區戶政事務所2樓（大安區行政中心）,臺北市大安區新生南路二段86號2樓,25.02657532,121.534425,臺北市大安區戶政事務所,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,2樓廁所開放時間為週一至週五，上午8時30分至下午5時30分。
0,機關,大安區公所(行政中心9樓),臺北市大安區新生南路2段86號9樓,25.030178,121.535692,臺北市大安區公所,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,"開放時間
【週一至週五】上午8時30分至下午5時30分。"
0,機關,廣慈社會住宅1區地下停車場,信義區大道路108、110號地下1層,25.03932661,121.5828015,臺北市政府停車管理工程處,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
0,機關,廣慈社會住宅2區地下停車場,信義區福德街84巷50、56號地下1層,25.03868145,121.5814229,臺北市政府停車管理工程處,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
0,機關,廣慈社會住宅2區地下停車場,信義區福德街84巷50、56號地下2層,25.03868145,121.5814229,臺北市政府停車管理工程處,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,
0,文化育樂場所,臺北市立動物園6號昆蟲館性別友善,臺北市文山區新光路二段30號,24.996515,121.580639,臺北市立動物園,1,1,0,1,0,1,0,0,0,0,1,0,2,0,0,
0,機關,臺北市政大樓地下1樓中央區,臺北市信義區市府路1號地下1樓,25.0371009,121.5642678,臺北市市政大樓公共事務管理中心,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,
0,機關,臺北市社會局文山社福中心,臺北市文山區興隆路二段160號6樓,25.00157,121.551407,臺北市政府社會局,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,"開放時間
【週一至週五】上午8時30至下午5時30分。"
